Longitud de onda (nm),Absorbancia GOTAS LIMPIAR LENTES
379.986,0.666
380.234,0.668
380.484,0.668
380.734,0.667
380.986,0.666
381.238,0.663
381.492,0.661
381.747,0.656
382.003,0.651
382.26,0.644
382.518,0.636
382.777,0.63
383.037,0.624
383.298,0.617
383.56,0.611
383.823,0.605
384.087,0.596
384.352,0.588
384.618,0.58
384.885,0.572
385.153,0.566
385.421,0.557
385.691,0.546
385.961,0.535
386.232,0.527
386.504,0.519
386.777,0.515
387.051,0.508
387.326,0.503
387.601,0.497
387.877,0.489
388.154,0.482
388.432,0.48
388.71,0.476
388.989,0.473
389.269,0.469
389.55,0.468
389.831,0.465
390.113,0.464
390.396,0.463
390.68,0.462
390.964,0.46
391.249,0.457
391.534,0.455
391.82,0.453
392.107,0.452
392.394,0.449
392.682,0.444
392.971,0.442
393.26,0.439
393.55,0.435
393.84,0.433
394.131,0.431
394.423,0.428
394.715,0.427
395.007,0.427
395.3,0.426
395.594,0.426
395.888,0.424
396.182,0.422
396.478,0.421
396.773,0.422
397.069,0.423
397.366,0.423
397.663,0.42
397.96,0.421
398.258,0.421
398.556,0.423
398.855,0.429
399.154,0.43
399.454,0.43
399.754,0.429
400.054,0.43
400.355,0.431
400.656,0.434
400.958,0.439
401.26,0.441
401.562,0.443
401.864,0.444
402.167,0.445
402.471,0.445
402.774,0.447
403.078,0.449
403.382,0.451
403.687,0.453
403.992,0.455
404.297,0.455
404.602,0.456
404.908,0.455
405.214,0.456
405.52,0.459
405.827,0.461
406.134,0.462
406.441,0.461
406.748,0.461
407.055,0.461
407.363,0.461
407.671,0.461
407.979,0.462
408.287,0.462
408.596,0.462
408.905,0.462
409.214,0.461
409.523,0.461
409.832,0.462
410.142,0.461
410.452,0.461
410.761,0.461
411.072,0.462
411.382,0.462
411.692,0.462
412.003,0.462
412.313,0.46
412.624,0.46
412.935,0.458
413.246,0.458
413.557,0.457
413.868,0.456
414.18,0.455
414.491,0.455
414.803,0.453
415.114,0.451
415.426,0.45
415.738,0.449
416.05,0.447
416.362,0.446
416.674,0.445
416.986,0.444
417.298,0.441
417.611,0.439
417.923,0.436
418.235,0.433
418.548,0.429
418.86,0.426
419.173,0.423
419.486,0.421
419.798,0.418
420.111,0.414
420.423,0.412
420.736,0.409
421.049,0.406
421.362,0.403
421.674,0.402
421.987,0.4
422.3,0.397
422.613,0.394
422.925,0.392
423.238,0.39
423.551,0.387
423.864,0.385
424.176,0.381
424.489,0.378
424.802,0.376
425.114,0.374
425.427,0.372
425.74,0.371
426.052,0.369
426.365,0.368
426.677,0.366
426.99,0.364
427.302,0.362
427.614,0.361
427.927,0.359
428.239,0.357
428.551,0.355
428.863,0.353
429.175,0.351
429.487,0.349
429.799,0.349
430.111,0.348
430.423,0.347
430.735,0.346
431.047,0.344
431.358,0.342
431.67,0.341
431.981,0.34
432.293,0.339
432.604,0.338
432.915,0.337
433.226,0.336
433.537,0.334
433.848,0.333
434.159,0.333
434.47,0.331
434.78,0.329
435.091,0.328
435.401,0.328
435.711,0.328
436.022,0.328
436.332,0.329
436.642,0.328
436.952,0.326
437.261,0.325
437.571,0.324
437.881,0.324
438.19,0.324
438.499,0.323
438.809,0.323
439.118,0.323
439.427,0.323
439.735,0.323
440.044,0.322
440.353,0.321
440.661,0.32
440.97,0.32
441.278,0.321
441.586,0.322
441.894,0.323
442.202,0.324
442.509,0.324
442.817,0.324
443.124,0.323
